finish,rider,number,lap,time,behind,place,year,round,moto,track,date,race_id,class,type,points
3,"TYLER MEDAGLIABrookfield, On",5,5,134.715,10.882,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,6,135.323,11.511,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,7,135.635,12.075,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,8,138.568,15.157,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,9,137.966,16.411,2,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,10,137.999,16.207,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,11,138.046,16.712,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,12,136.813,16.339,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,13,136.754,14.387,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
3,"TYLER MEDAGLIABrookfield, On",5,14,141.789,14.541,3,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,20
4,"WYATT KERR, ON",59,1,67.467,7.467,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,2,136.289,8.221,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,3,134.398,9.441,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,4,134.163,10.839,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,5,135.431,12.396,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,6,136.249,13.951,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,7,135.614,14.494,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,8,139.505,18.513,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,9,139.512,21.313,7,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,10,136.825,19.935,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,11,136.777,19.171,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,12,136.327,18.312,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,13,139.161,18.767,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
4,"WYATT KERR, ON",59,14,138.293,15.425,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,18
5,"QUINN AMYOTTEBlackstock, ON",14,1,64.879,4.879,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,2,135.686,5.03,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,3,134.848,6.7,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,4,135.01,8.945,4,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,5,136.327,11.398,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,6,135.891,12.595,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,7,135.984,13.508,5,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,8,139.47,17.492,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
5,"QUINN AMYOTTEBlackstock, ON",14,9,139.465,20.245,6,2024,6,1,Riverglade MX,2024-07-19,250_2024_11,250,mx,16
