"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"149",9,"JULIEN BENEKMission, BC","17",13,136.822,85.929,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"150",9,"JULIEN BENEKMission, BC","17",14,138.032,90.685,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"151",9,"JULIEN BENEKMission, BC","17",15,138.639,94.882,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"152",9,"JULIEN BENEKMission, BC","17",16,139.14,101.804,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"153",9,"JULIEN BENEKMission, BC","17",17,141.068,108.742,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",12
"154",10,"GAVIN BROUGHMesquite, NV","670",1,69.699,9.699,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"155",10,"GAVIN BROUGHMesquite, NV","670",2,137.56,15.955,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"156",10,"GAVIN BROUGHMesquite, NV","670",3,138.118,24.526,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"157",10,"GAVIN BROUGHMesquite, NV","670",4,136.499,31.476,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"158",10,"GAVIN BROUGHMesquite, NV","670",5,135.848,37.254,9,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"159",10,"GAVIN BROUGHMesquite, NV","670",6,136.551,44.201,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"160",10,"GAVIN BROUGHMesquite, NV","670",7,136.581,51.575,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"161",10,"GAVIN BROUGHMesquite, NV","670",8,136.721,58.405,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"162",10,"GAVIN BROUGHMesquite, NV","670",9,137.394,65.464,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"163",10,"GAVIN BROUGHMesquite, NV","670",10,136.946,71.771,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"164",10,"GAVIN BROUGHMesquite, NV","670",11,138.189,78.004,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"165",10,"GAVIN BROUGHMesquite, NV","670",12,140.038,87.571,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"166",10,"GAVIN BROUGHMesquite, NV","670",13,137.992,92.944,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"167",10,"GAVIN BROUGHMesquite, NV","670",14,137.856,97.524,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"168",10,"GAVIN BROUGHMesquite, NV","670",15,138.298,101.38,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"169",10,"GAVIN BROUGHMesquite, NV","670",16,139.016,108.178,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"170",10,"GAVIN BROUGHMesquite, NV","670",17,139.304,113.352,10,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",11
"171",11,"PARKER EALESMapleRidge, BR","18",1,75.477,15.477,15,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"172",11,"PARKER EALESMapleRidge, BR","18",2,140.978,25.151,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"173",11,"PARKER EALESMapleRidge, BR","18",3,138.686,34.29,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"174",11,"PARKER EALESMapleRidge, BR","18",4,138.814,43.555,14,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"175",11,"PARKER EALESMapleRidge, BR","18",5,139.27,52.755,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
"176",11,"PARKER EALESMapleRidge, BR","18",6,139.176,62.327,13,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",10
